1,3a,1a,0p,0p
2,0a,0a,0p,0p
3,9a,10a,11p,12p
4,10a,9a,0p,0p
5,24a,4a,0p,0p
6,3a,2a,18p,1p
7,18a,21a,10p,16p
8,12a,7a,11p,17p
9,19a,18a,17p,15p
10,19a,15a,10p,15p
11,0a,0a,18p,0p
12,10a,8a,0p,0p
13,12a,14a,11p,17p
14,3a,2a,0p,0p
15,10a,19a,0p,0p
16,30a,29a,4p,8p
17,30a,32a,5p,4p
18,23a,4a,0p,0p
19,2a,3a,9p,18p
20,8a,17a,0p,0p
21,10a,7a,11p,3p
22,19a,18a,16p,12p
23,25a,0a,0p,0p
24,0a,0a,0p,0p
25,24a,4a,18p,0p
26,30a,28a,4p,8p
27,10a,19a,11p,17p
28,9a,10a,17p,11p
29,12a,3a,11p,3p
30,0a,0a,0p,0p
31,15a,10a,12p,11p
32,4a,1a,2p,7p
33,15a,12a,12p,17p
34,5a,6a,16p,14p
35,12a,10a,17p,11p
36,19a,20a,14p,16p
37,6a,5a,3p,14p
38,4a,3a,7p,3p
39,25a,26a,1p,0p
40,25a,26a,2p,1p
41,19a,9a,3p,17p
42,19a,10a,10p,11p
43,10a,8a,17p,3p
44,22a,4a,7p,2p
45,3a,1a,1p,3p
46,11a,12a,17p,17p
47,30a,28a,4p,8p
48,3a,1a,18p,3p
49,3a,4a,18p,9p
50,30a,31a,4p,8p
51,19a,23a,1p,14p
52,9a,11a,17p,11p
53,5a,19a,15p,14p
54,25a,23a,1p,2p
55,28a,29a,0p,0p
56,9a,8a,11p,17p
57,23a,4a,7p,1p
58,0a,0a,0p,0p
59,30a,28a,4p,5p
60,4a,3a,18p,0p
61,30a,31a,0p,0p
62,19a,10a,11p,17p
63,15a,18a,12p,14p
64,21a,19a,13p,10p
65,12a,0a,0p,0p
66,29a,28a,8p,4p
67,3a,1a,0p,0p
68,1a,23a,9p,1p
69,3a,1a,18p,6p
70,28a,29a,4p,5p
71,30a,28a,0p,0p
72,28a,30a,8p,4p
73,10a,12a,3p,5p
74,8a,10a,17p,13p
75,24a,25a,1p,7p
76,12a,8a,11p,17p
77,4a,1a,18p,2p
78,0a,0a,0p,0p
79,24a,1a,9p,7p
80,12a,7a,11p,3p
81,18a,19a,14p,5p
82,28a,16a,8p,4p
83,3a,1a,18p,9p
84,4a,24a,7p,6p
85,4a,3a,6p,18p
86,25a,4a,0p,0p
87,7a,19a,11p,3p
88,4a,1a,7p,18p
89,0a,0a,0p,0p
90,25a,26a,0p,0p
91,0a,0a,0p,0p
92,28a,29a,4p,8p
93,30a,33a,5p,4p
94,12a,0a,17p,0p
95,11a,28a,4p,5p
96,0a,0a,0p,0p
97,10a,12a,17p,11p
98,30a,28a,5p,4p
99,28a,0a,0p,0p
100,10a,19a,12p,13p
101,0a,0a,0p,0p
102,30a,31a,8p,4p
103,0a,0a,0p,0p
104,24a,4a,0p,0p
105,28a,25a,8p,1p
106,0a,0a,0p,0p
107,12a,0a,3p,17p
108,30a,28a,4p,5p
109,25a,30a,1p,4p
110,12a,4a,1p,3p
111,30a,31a,5p,4p
112,15a,23a,12p,13p
113,12a,0a,13p,17p
114,25a,2a,1p,18p
115,0a,0a,0p,0p
116,2a,3a,0p,0p
117,4a,3a,6p,7p
118,19a,24a,0p,0p
119,19a,15a,12p,3p
120,4a,24a,0p,0p
121,25a,23a,4p,13p
122,12a,18a,11p,17p
123,12a,19a,13p,11p
124,0a,0a,12p,14p
125,19a,5a,6p,14p
126,28a,30a,0p,0p
127,0a,0a,0p,0p
128,18a,19a,13p,14p
129,0a,0a,0p,0p
130,0a,0a,0p,0p
131,3a,11a,1p,3p
132,20a,0a,0p,0p
133,19a,16a,0p,0p
134,0a,0a,0p,0p
135,23a,4a,3p,5p
136,4a,10a,8p,3p
137,24a,22a,7p,2p
138,19a,16a,0p,0p
139,4a,22a,2p,7p
140,23a,26a,1p,7p
141,22a,24a,7p,2p
142,25a,26a,18p,11p
143,0a,0a,0p,0p
144,25a,4a,1p,10p
145,0a,0a,0p,0p
146,24a,23a,0p,0p
147,10a,14a,1p,4p
148,3a,23a,3p,14p
