1 3p 13p 12a 15a
2 11p 3p 17a 3a
3 7p 9p 8a 12a
4 0p 0p 28a 29a
5 16p 1p 25a 10a
6 15p 6p 20a 12a
7 3p 0p 3a 1a
8 3p 2p 3a 1a
9 6p 17p 12a 15a
10 21p 20p 28a 31a
11 7p 6p 12a 11a
12 6p 15p 2a 12a
13 11p 10p 6a 24a
14 2p 3p 2a 3a
15 5p 19p 24a 22a
16 12p 5p 0a 0a
17 0p 0p 19a 10a
18 21p 0p 28a 14a
19 3p 21p 3a 23a
20 5p 3p 25a 26a
21 13p 10p 23a 18a
22 10p 11p 6a 5a
23 2p 3p 1a 3a
24 3p 5p 3a 1a
25 2p 3p 3a 0a
26 0p 0p 19a 20a
27 20p 21p 28a 30a
28 15p 6p 12a 18a
29 0p 0p 0a 0a
30 1p 20p 30a 29a
31 1p 4p 11a 12a
32 1p 7p 11a 7a
33 12p 6p 12a 19a
34 0p 0p 6a 5a
35 6p 15p 18a 21a
36 15p 15p 9a 9a
37 6p 13p 12a 11a
38 20p 21p 30a 32a
39 6p 15p 7a 12a
40 19p 14p 4a 22a
41 5p 0p 14a 26a
42 20p 21p 30a 28a
43 15p 7p 12a 10a
44 10p 6p 6a 5a
45 0p 0p 18a 19a
46 10p 19p 23a 18a
47 0p 0p 25a 0a
48 19p 11p 24a 18a
49 20p 21p 28a 30a
50 7p 1p 12a 11a
51 10p 11p 6a 5a
52 6p 16p 14a 10a
53 0p 0p 13a 19a
54 11p 10p 3a 3a
55 21p 12p 25a 28a
56 6p 10p 19a 24a
57 10p 11p 17a 8a
58 6p 0p 12a 0a
59 2p 11p 3a 1a
60 14p 11p 4a 5a
61 0p 0p 25a 30a
62 1p 7p 11a 8a
63 20p 21p 28a 29a
64 6p 6p 12a 12a
65 6p 15p 18a 10a
66 4p 7p 11a 9a
67 11p 14p 17a 3a
68 0p 0p 11a 30a
69 3p 2p 3a 1a
70 14p 19p 24a 4a
71 17p 16p 19a 10a
72 17p 11p 4a 1a
73 11p 14p 4a 24a
74 14p 17p 22a 4a
75 7p 13p 12a 19a
76 15p 6p 19a 13a
77 14p 11p 4a 17a
78 5p 3p 25a 10a
79 20p 1p 28a 29a
80 0p 0p 25a 0a
81 4p 9p 9a 10a
82 0p 0p 4a 24a
83 20p 1p 28a 29a
84 15p 6p 14a 8a
85 19p 4p 22a 23a
86 21p 20p 30a 28a
87 19p 12p 4a 10a
88 11p 14p 4a 19a
89 16p 17p 18a 19a
90 5p 3p 25a 26a
91 3p 2p 3a 1a
92 0p 0p 28a 29a
93 0p 0p 0a 0a
94 5p 3p 10a 25a
95 19p 2p 3a 1a
96 7p 10p 12a 9a
97 8p 1p 11a 16a
98 0p 0p 24a 23a
99 2p 19p 1a 3a
100 0p 0p 0a 0a
101 11p 19p 4a 1a
102 2p 3p 26a 24a
103 20p 0p 28a 30a
104 10p 6p 15a 23a
105 2p 11p 3a 1a
106 21p 20p 32a 30a
107 1p 20p 30a 28a
108 0p 0p 19a 0a
109 8p 14p 11a 15a
110 2p 11p 1a 3a
111 21p 20p 28a 30a
112 10p 8p 19a 21a
113 9p 0p 5a 0a
114 0p 0p 3a 1a
115 5p 3p 25a 26a
116 7p 4p 8a 12a
117 20p 21p 30a 25a
118 11p 2p 3a 1a
119 6p 15p 12a 15a
120 0p 0p 32a 30a
121 0p 0p 5a 11a
122 0p 0p 18a 21a
123 5p 0p 25a 26a
124 5p 3p 25a 12a
125 0p 0p 8a 9a
126 15p 9p 13a 12a
127 14p 19p 22a 24a
128 6p 9p 12a 7a
129 20p 21p 30a 32a
130 0p 0p 23a 19a
131 6p 15p 19a 13a
132 21p 20p 28a 30a
133 15p 8p 13a 12a
134 21p 7p 28a 30a
135 0p 0p 24a 4a
136 0p 0p 15a 12a
137 0p 0p 5a 6a
138 9p 4p 17a 12a
139 7p 19p 6a 5a
140 3p 7p 5a 3a
141 5p 19p 4a 10a
142 10p 10p 10a 10a
143 6p 15p 7a 12a
144 6p 15p 19a 18a
145 15p 6p 17a 12a
146 0p 0p 12a 15a
147 14p 10p 19a 15a
148 7p 8p 6a 8a
149 8p 15p 13a 19a
